No_,Name,Search Name,Name 2,Address,Address 2,City,Contact,Phone No_,Telex No_,Document Sending Profile,Ship-to Code,Our Account No_,Territory Code,Global Dimension 1 Code,Global Dimension 2 Code,Chain Name,Budgeted Amount,Credit Limit (LCY),Customer Posting Group,Currency Code,Customer Price Group,Language Code,Registration Number,Statistics Group,Payment Terms Code,Fin_ Charge Terms Code,Salesperson Code,Shipment Method Code,Shipping Agent Code,Place of Export,Invoice Disc_ Code,Customer Disc_ Group,Country_Region Code,Collection Method,Amount,Blocked,Invoice Copies,Last Statement No_,Print Statements,Bill-to Customer No_,Priority,Payment Method Code,Format Region,Last Modified Date Time,Last Date Modified,Application Method,Prices Including VAT,Location Code,Fax No_,Telex Answer Back,VAT Registration No_,Combine Shipments,Gen_ Bus_ Posting Group,Picture,GLN,Post Code,County,EORI Number,Use GLN in Electronic Document,E-Mail,Home Page,Reminder Terms Code,No_ Series,Tax Area Code,Tax Liable,VAT Bus_ Posting Group,Reserve,Block Payment Tolerance,IC Partner Code,Prepayment _,Partner Type,Intrastat Partner Type,Exclude from Pmt_ Practices,Image,Privacy Blocked,Disable Search by Name,Allow Multiple Posting Groups,Preferred Bank Account Code,Coupled to CRM,Cash Flow Payment Terms Code,Primary Contact No_,Contact Type,Mobile Phone No_,Responsibility Center,Shipping Advice,Shipping Time,Shipping Agent Service Code,Service Zone Code,Price Calculation Method,Allow Line Disc_,Base Calendar Code,Copy Sell-to Addr_ to Qte From,Validate EU Vat Reg_ No_,Id,Currency Id,Payment Terms Id,Shipment Method Id,Payment Method Id,Tax Area ID,Contact ID,Contact Graph Id,$systemId,$systemCreatedAt,$systemCreatedBy,$systemModifiedAt,$systemModifiedBy
00001NS,นาย ฤทธิรณ สมเจริญ,นาย ฤทธิรณ สมเจริญ,,32/2 หมู่ที่ 13,,อำเภอเมืองกำแพงเพชร,,,,,,,NORTH,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,21132,1,,,00001NS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.647+00,2024-06-05 00:00:00+00,0,0,,,,1200100479215,0,R,,,62000,จังหวัดกำแพงเพชร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,D5F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.693+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.657+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001PC,บริษัท 8 มีนา จำกัด,บริษัท 8 มีนา จำกัด,,779/8 ถนนประชาราษฎร์บำเพ็ญ,,เขตห้วยขวาง,,,,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,,2,,,00001PC,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.677+00,2024-06-05 00:00:00+00,0,0,,,,0105536029028,0,P,,,10400,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,DBF0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.7+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.683+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001PK,ร้าน SX อลูมิเนียม,ร้าน SX อลูมิเนียม,,97/7-8 บ้านลิพอน,,อำเภอถลาง,,,,,,,SOUTHERN,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,15515,1,,,00001PK,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:27:46.21+00,2024-06-05 00:00:00+00,0,0,,,,,0,R,,,83110,จังหวัดภูเก็ต,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,323D2AB9-E222-EF11-84C2-00505684FB3B,2024-06-05 02:24:26.923+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:27:46.217+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001PL,ร้าน TTอลูมิเนียม,ร้าน TTอลูมิเนียม,,367/1 หมู่ที่2,,อำเภอวังทอง,,,,,,,NORTH,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20232,1,,,00001PL,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.717+00,2024-06-05 00:00:00+00,0,0,,,,1659900342529,0,R,,,65130,จังหวัดพิษณุโลก,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,E1F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.707+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.72+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001RY,ร้าน 50 ดาวอลูมิเนียม,ร้าน 50 ดาวอลูมิเนียม,,77/26 ถนนอดุลย์ธรรมประภาส,,อำเภอเมืองระยอง,คุณสมลักษณ์ ราญรอน,"038 870-766, 081 699-8142, 089",,,,,SOUTHERN,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,10206,1,,,00001RY,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:27:46.233+00,2024-06-05 00:00:00+00,0,0,,038 870-766,,3100504309157,0,R,,,21000,จังหวัดระยอง,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"038 870-766, 081 699-8142",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,383D2AB9-E222-EF11-84C2-00505684FB3B,2024-06-05 02:24:26.933+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:27:46.24+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001SK,ร้าน 999 กระจกอลูมิเนี่ยม,ร้าน 999 กระจกอลูมิเนี่ยม,,6239 หมู่ที่ 10 ถนนนิตโย,,อำเภอสว่างแดนดิน,,"088-3173896, 080-1928233",,,,,NORTHEASTE,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,20129,1,,,00001SK,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.737+00,2024-06-05 00:00:00+00,0,0,,,,3471200918127,0,R,,,47240,จังหวัดสกลนคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,E7F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.71+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.743+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001UB,ร้าน พีกระจก,ร้าน พีกระจก,,111 หมู่ที่ 13,,อำเภอพิบูลมังสาหาร,คุณเพ็ญศรี ขวัญมิ่ง,"08-0112-0944,08-3696-9189",,,,,NORTHEASTE,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,60,,20166,2,,,00001UB,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.763+00,2024-06-05 00:00:00+00,0,0,,,,3341500256520,0,I,,,34110,จังหวัดอุบลราชธานี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,"08-0112-0944,08-3696-9189",,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,971438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,EDF0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.717+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.77+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00001UD,บริษัท 3 ป. รุ่งเรืองโลหะกิจ จำกัด,บริษัท 3 ป. รุ่งเรืองโลหะกิจ จำกัด,,338 หมู่ที่6,,อำเภอเมืองอุดรธานี,คุณสงัด วงค์ขันธ์,042 245-720,,,,,NORTHEASTE,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,90,,20088,1,,,00001UD,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.79+00,2024-06-05 00:00:00+00,0,0,,042 245-718,,0415552000532,0,W,,,41000,จังหวัดอุดรธานี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,042 245-720,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,9D1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,F3F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.723+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.797+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00002AY,บริษัท 05 คอนสตรัคชั่น จำกัด,บริษัท 05 คอนสตรัคชั่น จำกัด,,135 ซอยประชาอุทิศ 5 แยก 3-3 ถนนสรงประภา,,เขตดอนเมือง,,,,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,WI,,,,,0,0,,21311,1,,,00002AY,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.813+00,2024-06-05 00:00:00+00,0,0,,,,0105548009272,0,R,,,10210,กรุงเทพมหานคร,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,7C1438EA-9C0E-EF11-A64E-00505684417F,895685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,F9F0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.73+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.82+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
00002BS,บริษัท 168 อลูมิเนียม ปทุมธานี จำกัด,บริษัท 168 อลูมิเนียม ปทุมธานี จำกัด,,6/50 หมู่ที่ 8,,อำเภอลาดหลุมแก้ว,คุณศุภวัฒน์ สุริยะมณี,095-246-5263,,,,,CENTRAL,,,,0.00000000000000000000,0.00000000000000000000,ST,,,,,0,30,,21026,2,,,00002BS,,TH,,0.00000000000000000000,0,0,0,0,,0,,,2024-06-05 02:24:28.837+00,2024-06-05 00:00:00+00,0,0,,,,0135563002224,0,W,,,12140,จังหวัดปทุมธานี,,0,,,,,,0,,1,0,,0.00000000000000000000,0,0,0,00000000-0000-0000-0000-000000000000,0,0,1,,0,,,0,095-2465263,,0,,,,0,1,,0,0,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,911438EA-9C0E-EF11-A64E-00505684417F,8A5685D5-337A-EE11-96B1-C2B3535615BC,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,00000000-0000-0000-0000-000000000000,,FFF0509B-E222-EF11-84C2-00505684FB3B,2024-06-05 02:23:34.737+00,4D06720D-E7D4-48D3-9EA8-452BAB690875,2024-06-05 02:24:28.843+00,4D06720D-E7D4-48D3-9EA8-452BAB690875
