ตรวจสอบ (Verified),แท็บ,ส่วน,ชื่อฟิลด์,ประเภท,แสดงผล (*),การบังคับ,กฎการตรวจสอบ,หมายเหตุ
FALSE,ข้อมูลคำขอ,ข้อมูลเครดิตที่มีอยู่,เครดิต (วัน),ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,รายการไดนามิก
FALSE,ข้อมูลคำขอ,ข้อมูลเครดิตที่มีอยู่,วงเงิน (บาท),ข้อความ,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น,รายการไดนามิก
FALSE,ข้อมูลทั่วไป,เอกสารแนบ,สำเนาบัตรประชาชน,อัปโหลดไฟล์,มี,บังคับ,-,id_card
FALSE,ข้อมูลทั่วไป,เอกสารแนบ,สำเนาทะเบียนบ้าน,อัปโหลดไฟล์,มี,บังคับ,-,home_reg
FALSE,ข้อมูลทั่วไป,ข้อมูลบริษัท,ชื่อร้าน/บริษัท,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,name
FALSE,ข้อมูลทั่วไป,ข้อมูลบริษัท,เลขประจำตัวผู้เสียภาษี,ข้อความ,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น,VAT Registration No_
FALSE,ข้อมูลทั่วไป,ผู้มีอำนาจลงนาม,ชื่อผู้มีอำนาจลงนาม 1,ข้อความ,มี,บังคับ,ตัวอักษรเท่านั้น,authorized_person
FALSE,ข้อมูลทั่วไป,ผู้มีอำนาจลงนาม,ตำแหน่ง 1,ข้อความ,มี,บังคับ,ตัวอักษรเท่านั้น,authorized_position
FALSE,ข้อมูลทั่วไป,ผู้มีอำนาจลงนาม,ชื่อผู้มีอำนาจลงนาม 2,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรเท่านั้น,authorized_person_2
FALSE,ข้อมูลทั่วไป,ผู้มีอำนาจลงนาม,ตำแหน่ง 2,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรเท่านั้น,authorized_position_2
FALSE,ข้อมูลทั่วไป,รายละเอียดธุรกิจ,ประเภทกิจการ,ตัวเลือก,ไม่มี,ไม่บังคับ,-,business_type
FALSE,ข้อมูลทั่วไป,รายละเอียดธุรกิจ,สินค้าหลัก,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,main_products
FALSE,ข้อมูลทั่วไป,รายละเอียดธุรกิจ,ดำเนินธุรกิจ (ปี หรือ พ.ศ. ที่จัดตั้ง),ตัวเลข,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น,years_in_business
FALSE,ที่อยู่อาศัย,เอกสารแนบ,รูปถ่ายบ้าน,อัปโหลดไฟล์,มี,บังคับ,-,home_photo
FALSE,ที่อยู่อาศัย,เอกสารแนบ,เอกสารเสียภาษีที่ดิน,อัปโหลดไฟล์,มี,บังคับ,-,land_tax
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,ที่อยู่ (บ้านเลขที่ ถนน),ข้อความ,มี,บังคับ,ตัวเลขเท่านั้น,address
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,ตำบล/แขวง,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,subdistrict
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,รหัสไปรษณีย์,ตัวเลข,มี,บังคับ,ตัวเลขเท่านั้น,zipcode
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,อำเภอ/เขต,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,district
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,จังหวัด,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,province
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,เบอร์โทรศัพท์,ตัวเลข,มี,บังคับ,ตัวเลขเท่านั้น (9-10 หลัก),phone
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,แฟกซ์,ข้อความ,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น (9-10 หลัก),fax
FALSE,ที่อยู่อาศัย,ตรวจสอบที่อยู่,อีเมล,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,email
FALSE,ที่อยู่อาศัย,รายละเอียดทรัพย์สิน,ลักษณะที่ตั้ง,ตัวเลือก,มี,บังคับ,-,residence_location_type
FALSE,ที่อยู่อาศัย,รายละเอียดทรัพย์สิน,กรรมสิทธิ์ทรัพย์สิน,ตัวเลือก,มี,บังคับ,-,residence_ownership
FALSE,ที่อยู่อาศัย,รายละเอียดทรัพย์สิน,คำอธิบายเพิ่มเติม (ที่ตั้ง),ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,ตามเงื่อนไข
FALSE,ที่อยู่อาศัย,รายละเอียดทรัพย์สิน,มูลค่า/ค่าเช่า,ข้อความ,ไม่มี,ไม่บังคับ,ตัวเลขเท่านั้น,ตามเงื่อนไข
FALSE,ที่อยู่อาศัย,แผนที่,Google Map Code,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,residence_map_code
FALSE,ที่อยู่อาศัย,แผนที่,จุดสังเกต (Landmark),ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,residence_landmark
FALSE,ที่อยู่อาศัย,แผนที่,หมายเหตุ,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,residence_note
FALSE,ที่อยู่ร้านค้า / บริษัท,เอกสารแนบ (บริษัท),หนังสือรับรอง,อัปโหลดไฟล์,มี,บังคับ,-,legal_entity_certificate
FALSE,ที่อยู่ร้านค้า / บริษัท,เอกสารแนบ (บริษัท),ภ.พ.20,อัปโหลดไฟล์,มี,บังคับ,-,vat_document
FALSE,ที่อยู่ร้านค้า / บริษัท,เอกสารแนบ (บริษัท),รูปถ่ายบริษัท,อัปโหลดไฟล์,มี,บังคับ,-,company_photo
FALSE,ที่อยู่ร้านค้า / บริษัท,เอกสารแนบ (บริษัท),เอกสารเสียภาษีที่ดิน/สัญญาเช่า,อัปโหลดไฟล์,มี,บังคับ,-,company_land_tax
FALSE,ที่อยู่ร้านค้า / บริษัท,เอกสารแนบ (บุคคล),ทะเบียนพาณิชย์,อัปโหลดไฟล์,มี,บังคับ,-,commercial_reg
FALSE,ที่อยู่ร้านค้า / บริษัท,เอกสารแนบ (บุคคล),รูปถ่ายร้านค้า,อัปโหลดไฟล์,มี,บังคับ,-,store_photo
FALSE,ที่อยู่ร้านค้า / บริษัท,เอกสารแนบ (บุคคล),เอกสารเสียภาษีที่ดิน/สัญญาเช่า,อัปโหลดไฟล์,มี,บังคับ,-,store_land_tax
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,ที่อยู่,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,address
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,ตำบล/แขวง,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,subdistrict
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,รหัสไปรษณีย์,ตัวเลข,มี,บังคับ,ตัวเลขเท่านั้น,zipcode
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,อำเภอ/เขต,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,district
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,จังหวัด,ข้อความ,มี,บังคับ,ตัวอักษรและตัวเลข,province
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,เบอร์โทรศัพท์,ตัวเลข,มี,บังคับ,ตัวเลขเท่านั้น (9-10 หลัก),phone
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,ลักษณะที่ตั้ง,ตัวเลือก,มี,บังคับ,-,location_type
FALSE,ที่อยู่ร้านค้า / บริษัท,ตรวจสอบที่อยู่,กรรมสิทธิ์ทรัพย์สิน,ตัวเลือก,มี,บังคับ,-,ownership
FALSE,เอกสารการเงิน,เอกสารแนบ,Bank Statement,อัปโหลดไฟล์,มี,บังคับ,-,bank_statement
FALSE,เอกสารการเงิน,รายละเอียดการชำระเงิน,วิธีการชำระเงิน,ตัวเลือก,มี,บังคับ,-,payment_method
FALSE,เอกสารการเงิน,รายละเอียดการชำระเงิน,ชื่อธนาคาร,ตัวเลือก,ไม่มี,ไม่บังคับ,-,ตามเงื่อนไข (กรณีโอน/เช็ค)
FALSE,เอกสารการเงิน,รายละเอียดการชำระเงิน,สาขา,ข้อความ,ไม่มี,ไม่บังคับ,ตัวอักษรและตัวเลข,ตามเงื่อนไข (กรณีโอน/เช็ค)
